Bevl_1;Bevl_2;Bevl_3;Burn1_1;Burn1_2;Burn1_3;Burn1_4;Mot_Stress_1;Mot_Stress_2;Mot_Stress_4;Onnodige_stress_1;Onnodige_stress_2;Onnodige_stress_3;Onnodige_stress_4;Onnodige_stress_5;Onnodige_stress_6;Onnodige_stress_7;Leefst;Cantrill;Depr_1;Depr_2;Depr_3;Depr_4;Depr_5;Depr_6;Depr_7;Depr_8;StPunt_beh;Cijfer_huidig_1;Vertr;StopInt;Hulp_1;Hulp_2;Hulp_3;Bekendgebruik_1;Bekendgebruik_2;Bekendgebruik_3;Bekendgebruik_4;Bekendgebruik_5;Bekendgebruik_6;Bekendgebruik_7;Cogn_Eng1_1;Cogn_Eng1_2;Cogn_Eng1_3;Cogn_Eng1_4;Cogn_Eng1_5;Cogn_Eng1_6;Cogn_Eng2_1;Cogn_Eng2_2;Cogn_Eng2_3;Cogn_Eng2_4;Cogn_Eng2_5;Cogn_Eng2_6;Cogn_Eng2_7;Cogn_Eng2_8;Partici1_1;Partici1_2;Partici1_3;Partici1_4;Stopint2;Zorg_1;Zorg_2;Zorg_3;Zorg_4;Zorg_5;Zorg_6;Pres_1;Pres_2;Veer_1;Veer_2;Veer_3;Veer_4;Veer_5;Veer_6;Cogregiedocent_1;Cogregiedocent_2;Cogregiedocent_3;Cogregiedocent_4;Cogregiedocent_5;Cogregiedocent_6;Extr_eng2_1;Extr_eng2_2;Extr_eng2_3;Soc_veilig;Soc_veilig_stelling_1;Soc_veilig_stelling_2;Soc_veilig_stelling_3;Soc_veilig_stelling_4;Soc_veilig_stelling_5;Domein;Geslacht;Leeftijd;Locatie;Studiejaar;Uitwissel;Vooropleid;Woonsit
3;3;4;2;2;2;3;4.2;3;3.8;5;3;2;3;4;3;3;4;4.2;2.33;2.33;1;3.67;1;3.67;2.33;2.33;41;4.16;1.8;1;1;1;1;1;1;3;3;1;1;1;4;4;3;5;5;5;5;4;5;4;2;4;3;3;1;1;4;1;5;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;;;Gezondheid, Sport en Welzijn (GSW);Vrouw;20;Alkmaar;1;1;Vwo;Bij mijn ouder(s)/verzorger(s)
2;3;3;3;4;3;4;2.6;4.6;2.2;4;3;2;5;5;5;3;4;3.8;2.33;3.67;2.33;3.67;2.33;3.67;2.33;3.67;32;3.4;1.8;1;1;1;1;3;1;3;1;1;1;1;4;4;3;4;4;4;5;4;3;4;2;5;1;2;2;3;1;1;5;4;3;2;2;3;3;4;3;3;4;3;4;3;3;3;2;3;3;3;2;3;2;2;1;5;5;3;3;3;Gezondheid, Sport en Welzijn (GSW);Vrouw;18;Alkmaar;1;1;Havo;Bij mijn ouder(s)/verzorger(s)
3;3;3;4;3;5;3;4.2;3.4;3.8;4;4;4;5;5;5;2;5;3.4;3.67;5;2.33;2.33;1;2.33;2.33;2.33;41;3.88;1.8;1;1;1;1;3;1;5;1;1;3;1;4;4;2;3;3;4;4;4;4;4;3;5;3;3;3;1;1;1;1;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;Gezondheid, Sport en Welzijn (GSW);Vrouw;21;Haarlem;1;1;Havo;Bij mijn ouder(s)/verzorger(s)
3;4;4;2;1;2;1;4.6;1.8;4.2;;;;2;2;3;2;4;4.6;1;1;2.33;5;1;5;1;1;28;3.8;1.8;1;1;1;1;1;1;5;1;1;1;1;4;5;2;4;5;5;5;5;5;5;5;5;5;5;3;1;1;1;5;2;1;2;1;1;3;3;3;4;2;2;2;4;2;4;2;4;5;5;5;4;4;4;1;4;4;4;4;4;Verloskunde Academie;Vrouw;31;Groningen (Verloskunde Academie);1;1;Anders, namelijk (vul in):;Met mijn partner / een relatie
1;3;3;4;4;4;5;3.4;4.2;3.4;3;2;2;5;5;3;5;2;3;2.33;3.67;2.33;1;3.67;2.33;2.33;2.33;29;3.8;2.6;5;3;1;3;5;1;5;1;1;1;1;4;5;4;5;4;4;3;3;3;3;4;5;3;4;1;3;2;2;5;5;4;1;1;1;3;5;3;1;5;4;5;2;5;3;4;4;5;5;4;4;4;3;1;3;3;4;3;3;Gezondheid, Sport en Welzijn (GSW);Vrouw;23;Haarlem;1;1;Mbo;Bij mijn ouder(s)/verzorger(s)
3;3;4;4;1;5;5;3.8;4.6;2.6;4;;2;5;4;4;5;4;3.4;2.33;5;2.33;3.67;1;3.67;2.33;5;15;3.72;4.2;5;1;1;5;3;1;3;1;1;5;1;5;4;2;4;5;5;4;4;4;4;3;5;2;3;2;1;1;1;3;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;;;Creative Business (CB);Vrouw;19;Haarlem;1;1;Havo;Bij mijn ouder(s)/verzorger(s)
4;4;3;2;2;1;2;3.8;4.2;4.2;2;2;;4;3;3;3;4;3.8;1;2.33;3.67;2.33;1;2.33;1;2.33;44;4.4;1.8;1;1;1;1;3;1;3;3;1;1;1;4;4;2;4;4;5;4;3;2;2;1;5;3;3;4;1;4;1;5;4;2;2;1;1;3;5;4;4;1;1;2;3;4;5;5;3;4;4;4;5;3;3;3;4;4;5;2;4;Techniek, Ontwerpen en Informatica (TOI);Man;23;Diemen;1;1;Havo;Bij mijn ouder(s)/verzorger(s)
3;4;4;2;3;3;2;2.6;3.8;4.2;1;2;2;3;3;4;4;4;3;3.67;3.67;2.33;3.67;2.33;3.67;2.33;2.33;25;3.68;1.8;1;1;1;5;3;1;3;1;1;1;1;4;4;3;4;4;4;4;3;4;3;3;4;2;3;1;1;1;2;5;4;4;2;2;2;2;4;3;3;4;4;3;2;3;4;4;3;4;4;3;4;3;3;1;4;4;4;4;4;Gezondheid, Sport en Welzijn (GSW);Man;18;Haarlem;1;1;Havo;Bij mijn ouder(s)/verzorger(s)
2;4;3;3;3;4;3;3;3;3;;;;;;3;3;4;3.8;1;2.33;2.33;3.67;1;3.67;1;2.33;42;3.6;1.8;1;1;1;1;1;1;3;3;1;1;1;4;5;2;5;4;5;5;5;5;4;3;4;4;4;3;1;1;3;5;3;3;2;1;2;1;4;4;4;2;2;1;4;1;4;5;4;5;5;5;5;5;5;1;5;5;5;5;5;Techniek, Ontwerpen en Informatica (TOI);Man;22;Alkmaar;1;1;Mbo;Bij mijn ouder(s)/verzorger(s)
3;4;4;3;3;4;3;3.8;2.6;3.8;3;2;2;3;4;2;1;4;4.2;1;3.67;2.33;3.67;1;3.67;2.33;2.33;43;3.76;1.8;1;1;1;1;1;1;5;1;1;1;1;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;5;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;Techniek, Ontwerpen en Informatica (TOI);Man;18;Alkmaar;1;1;Vwo;Bij mijn ouder(s)/verzorger(s)
