,Bevl_1,Bevl_2,Bevl_3,Burn1_1,Burn1_2,Burn1_3,Burn1_4,Mot_Stress_1,Mot_Stress_2,Mot_Stress_4,Onnodige_stress_1,Onnodige_stress_2,Onnodige_stress_3,Onnodige_stress_4,Onnodige_stress_5,Onnodige_stress_6,Onnodige_stress_7,Onnodige_stress_8,Onnodige_stress_9,Onnodige_stress_10,Leefst,Cantrill_1,Q297_1,Depr_1,Depr_2,Depr_3,Depr_4,Depr_5,Depr_6,Depr_7,Depr_8,Cijfer_huidig_1,Vertr,StopInt,Hulp_1,Hulp_2,Hulp_3,Bekendgebruik_1,Bekendgebruik_2,Bekendgebruik_3,Bekendgebruik_4,Bekendgebruik_5,Bekendgebruik_6,Bekendgebruik_7,Cogn_Eng1_1,Cogn_Eng1_2,Cogn_Eng1_3,Cogn_Eng1_4,Cogn_Eng1_5,Cogn_Eng1_6,Cogn_Eng2_1,Cogn_Eng2_2,Cogn_Eng2_3,Cogn_Eng2_4,Cogn_Eng2_5,Cogn_Eng2_6,Cogn_Eng2_7,Cogn_Eng2_8,Partici1_1,Partici1_2,Partici1_3,Partici1_4,Stopint2,Betrok_Ouders,Werk_1,Zorg_1,Zorg_2,Zorg_3,Zorg_4,Zorg_5,Zorg_6,Pres_1,Pres_2,Pres_12,Veer_1,Veer_2,Veer_3,Veer_4,Veer_5,Veer_6,Cogregiedocent_1,Cogregiedocent_2,Cogregiedocent_3,Cogregiedocent_4,Cogregiedocent_5,Cogregiedocent_6,Extr_eng2_1,Extr_eng2_2,Extr_eng2_3,Domein,Geslacht,Leeftijd,Locatie,Studiejaar,Uitwissel,Vooropleid,Woonsit
0,2,2,3,4,5,4,5,3,8,3,2,4,2,5,5,,5,,5,3,4,6.0,6.0,2,4,4,3,2,3,2,4,6.0,1,1,3,3,3,1,1,2,1,1,1,1,4,4,3,5,2,2,3,2,4,4,2,5,3,3,2,2,3,2,1,3,13.0,4,2,4,3,1,3,4,5,3,2,5,5,5,1,5,3,4,2,2,2,2,2,1,1,Creative Business (CB),Vrouw,20,Den Haag,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
1,3,4,4,2,1,1,2,8,5,8,2,3,1,3,3,3,5,4,2,1,4,8.0,6.0,2,2,1,3,1,3,2,1,7.0,0,0,1,1,1,2,2,2,2,2,2,2,4,4,2,4,4,4,3,2,3,4,3,4,4,4,3,2,2,1,1,3,20.0,1,2,2,3,3,3,3,4,2,4,2,2,2,4,2,4,4,4,4,5,4,4,3,3,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,25,Den Haag,4,0,Mbo,Met mijn partner / een relatie
2,3,4,3,4,3,3,3,6,7,8,3,3,3,3,3,3,3,3,3,3,4,7.0,8.0,3,3,3,3,3,3,3,2,7.7,0,0,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,5,5,4,4,3,3,3,2,3,4,1,1,1,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,23,Alkmaar,4,0,Mbo,Alleen
3,3,4,4,3,3,3,4,7,10,5,3,4,4,4,4,3,2,3,4,2,4,7.0,8.0,2,3,1,3,1,3,2,3,5.7,1,0,1,1,1,2,2,2,3,2,2,2,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,3,2,1,1,3,15.0,,,,,,,,,,,,,,,,,,,,,,,,,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,23,Alkmaar,4,0,Mbo,Bij mijn ouder(s)/verzorger(s)
4,3,4,4,1,1,1,1,7,1,8,1,1,1,2,1,1,1,1,1,1,4,7.0,7.0,1,1,2,3,1,3,1,2,7.3,0,0,1,1,1,2,1,2,1,1,1,1,3,4,2,4,4,4,4,3,4,4,3,4,3,3,2,3,1,1,1,3,0.0,1,1,2,2,3,2,1,2,1,4,1,1,2,4,1,4,4,4,3,4,3,4,3,4,"Techniek, Ontwerpen en Informatica (TOI)",Man,21,Alkmaar,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
5,3,4,5,3,2,1,3,8,7,6,1,2,,,,2,2,2,3,1,4,8.0,6.0,2,3,2,3,1,2,1,3,7.8,0,0,1,1,1,2,2,2,1,1,1,1,5,5,2,4,4,4,4,4,4,4,3,5,5,5,4,3,1,1,1,4,12.0,2,1,3,1,4,2,4,2,1,4,2,2,2,3,2,4,4,5,5,5,5,5,4,4,"Techniek, Ontwerpen en Informatica (TOI)",Man,21,Haarlem,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
6,3,4,3,4,3,4,4,4,7,7,1,2,2,3,4,4,3,2,3,3,4,5.0,7.0,1,2,2,4,1,4,2,4,7.1,0,0,1,1,1,3,1,2,1,2,1,1,4,4,4,3,5,4,4,4,4,4,3,5,4,4,3,2,1,3,1,3,13.0,3,1,1,1,4,3,4,3,2,3,5,3,4,3,3,5,4,4,5,4,4,5,5,5,"Techniek, Ontwerpen en Informatica (TOI)",Vrouw,21,Haarlem,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
7,3,3,3,4,4,3,4,3,8,2,,5,,,3,3,,,2,,2,6.0,7.0,2,3,3,2,2,2,2,4,7.0,1,1,3,1,3,2,1,3,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,1,3,2,1,4,18.0,4,2,3,1,1,1,4,3,3,3,4,4,3,4,3,3,1,4,3,4,4,4,4,3,Onderwijs en Innovatie (ONI),Vrouw,51,Alkmaar,5 of hoger,0,"Anders, namelijk (vul in):",Met mijn partner / een relatie
8,3,4,4,4,2,1,3,7,8,5,2,4,2,5,5,3,2,3,3,1,3,7.0,6.0,3,3,2,1,2,2,3,2,6.7,0,0,1,1,1,1,1,3,1,1,1,1,4,5,3,4,3,4,3,3,4,3,3,3,3,4,2,1,3,2,1,5,10.0,4,4,4,4,4,4,4,3,4,4,5,5,4,3,4,3,4,3,3,4,4,3,3,3,"Business, Finance and Law (BFL)",Vrouw,20,Alkmaar,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
9,3,5,4,4,4,3,3,6,10,6,4,3,1,3,2,2,3,3,3,3,4,9.0,7.0,1,1,1,3,1,3,2,3,7.2,0,0,1,1,1,1,1,1,1,1,1,1,4,3,2,3,3,5,3,2,3,4,1,2,1,2,3,1,1,1,1,2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,22,Alkmaar,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
10,1,3,3,3,3,3,4,7,9,7,4,3,4,5,5,5,4,4,4,3,3,5.0,8.0,2,3,2,2,2,2,2,2,6.9,0,0,1,3,3,1,3,1,1,1,1,1,4,4,3,4,3,3,3,3,3,3,3,4,2,3,4,3,3,2,1,5,15.0,4,4,4,4,5,4,5,3,4,3,4,5,3,3,3,4,4,4,4,4,3,3,3,3,"Techniek, Ontwerpen en Informatica (TOI)",Anders,39,Haarlem,4,1,"Anders, namelijk (vul in):",Alleen
11,1,1,1,5,3,4,4,3,8,2,3,5,2,4,2,3,,5,5,3,3,5.0,7.0,3,4,2,2,2,2,2,4,7.0,5,1,3,1,1,1,1,3,1,1,3,1,4,4,3,4,2,2,3,2,4,2,3,3,3,2,3,1,3,3,1,2,24.0,5,3,5,3,4,4,4,3,4,4,4,3,4,3,4,2,3,3,2,2,1,3,3,3,"Agri, Food and Life Sciences (AFL)",Man,24,Delft,5 of hoger,1,Havo,Met een of enkele huisgenoten / vrienden (geen relatie)
12,1,1,1,5,3,5,5,0,10,0,1,,1,1,1,,1,,,1,4,0.0,6.0,2,4,2,2,2,2,2,4,4.0,5,1,2,1,2,1,3,2,1,1,1,1,5,5,1,5,2,1,3,3,2,3,3,3,3,3,3,4,1,1,1,2,0.0,5,4,5,3,3,4,5,5,5,2,4,4,5,3,5,5,3,5,1,3,1,1,1,1,"Techniek, Ontwerpen en Informatica (TOI)",Man,26,Delft,5 of hoger,0,Havo,Bij mijn ouder(s)/verzorger(s)
13,1,1,1,5,5,5,4,4,9,5,,5,,3,3,4,,3,5,,4,7.0,7.0,1,1,1,4,1,3,2,2,7.4,0,0,2,1,1,1,1,1,1,1,1,1,4,3,3,4,3,2,3,3,4,4,3,4,4,3,1,1,1,1,1,4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,Onderwijs en Innovatie (ONI),Vrouw,24,Dordrecht,5 of hoger,0,Mbo,Bij mijn ouder(s)/verzorger(s)
14,2,5,5,5,5,4,5,8,10,0,3,4,5,4,5,4,,3,4,5,4,6.0,8.0,4,4,3,3,3,2,3,3,7.2,0,1,3,3,2,2,2,3,1,1,1,1,4,4,3,4,4,4,5,5,5,5,5,4,4,4,2,2,1,1,1,4,,4,5,3,5,4,3,5,4,3,4,4,3,4,2,4,4,4,4,4,5,4,4,3,3,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,20,Amsterdam,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
15,3,3,3,2,1,2,2,8,4,5,2,3,2,2,3,2,1,2,4,5,4,6.0,7.0,2,1,3,3,1,2,1,4,7.1,0,0,1,1,1,2,1,1,1,1,1,1,3,5,2,4,2,2,4,4,5,4,4,4,4,4,2,1,1,1,1,3,11.0,2,2,4,3,4,4,5,3,3,5,1,1,1,5,1,4,3,4,3,3,4,5,3,3,"Business, Finance and Law (BFL)",Vrouw,21,Alkmaar,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
16,3,3,3,4,2,2,2,5,5,5,1,3,1,3,2,3,,,1,,4,8.0,6.0,1,2,3,3,1,3,2,2,7.1,0,0,1,1,1,2,2,2,1,1,1,1,3,5,2,4,4,4,4,4,4,2,2,5,3,4,3,3,3,3,1,1,8.0,1,2,3,2,1,1,4,2,2,4,2,2,4,3,3,4,4,3,4,4,4,3,4,4,"Techniek, Ontwerpen en Informatica (TOI)",Man,23,Alkmaar,4,0,Mbo,Bij mijn ouder(s)/verzorger(s)
17,3,4,3,3,3,3,4,7,8,6,3,4,3,4,4,4,2,3,4,3,4,7.0,10.0,2,3,3,3,2,3,2,2,7.5,0,0,1,1,1,2,2,3,1,1,1,1,4,3,3,4,4,4,3,2,3,3,2,4,2,3,2,3,1,1,1,3,12.0,3,4,3,3,1,2,5,5,4,2,4,4,4,2,4,4,3,3,3,4,3,3,3,3,"Business, Finance and Law (BFL)",Vrouw,22,Alkmaar,4,0,Havo,Met mijn partner / een relatie
18,2,4,3,3,4,3,3,7,6,7,3,4,3,4,4,4,3,3,4,4,4,7.0,6.0,1,1,2,3,1,4,1,2,6.2,4,0,1,1,1,2,1,2,2,1,1,1,4,4,3,4,4,4,4,4,4,3,3,4,4,4,3,2,2,2,1,3,15.0,3,2,2,3,4,4,4,3,3,2,4,4,4,3,4,3,3,3,4,4,4,4,4,3,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,23,Alkmaar,4,0,Havo,Met mijn partner / een relatie
19,3,4,4,4,5,5,5,8,8,7,4,3,5,4,4,3,2,2,5,5,1,5.0,8.0,4,4,4,2,2,1,3,4,7.0,0,0,2,1,1,2,2,3,3,1,2,2,3,5,1,5,4,3,2,1,1,2,2,4,2,2,2,1,1,1,1,3,8.0,2,1,4,4,2,2,5,3,3,1,5,5,5,2,4,4,4,3,3,5,5,3,2,1,Creative Business (CB),Vrouw,22,Haarlem,4,0,Havo,Met mijn partner / een relatie
20,2,3,4,5,4,2,4,3,8,7,1,2,1,2,1,2,3,3,3,1,3,5.0,9.0,4,4,4,2,3,2,4,4,8.2,0,0,1,1,3,2,1,2,2,1,1,1,5,4,4,3,4,4,5,2,4,5,3,5,5,4,2,1,1,2,1,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,"Techniek, Ontwerpen en Informatica (TOI)",Man,21,Haarlem,4,0,Havo,Alleen
21,2,2,2,5,4,5,4,0,10,0,5,5,,,5,5,,3,5,,5,4.0,7.0,2,2,3,2,1,2,3,3,6.9,0,1,1,1,1,2,1,1,2,1,3,1,5,5,2,5,3,3,4,3,4,4,3,5,3,1,3,3,1,1,1,5,18.0,4,5,5,2,1,3,4,5,3,3,4,4,4,3,3,3,4,4,3,3,3,2,3,3,Creative Business (CB),Vrouw,21,Rotterdam,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
22,2,3,3,3,3,3,4,4,6,4,2,3,3,3,4,2,,,3,3,3,5.0,7.0,3,3,1,2,2,1,3,3,7.5,0,1,1,1,1,2,2,3,1,1,1,1,4,4,3,4,4,4,4,3,3,3,2,5,3,3,2,3,1,1,1,3,20.0,2,2,2,3,3,4,4,2,3,4,3,3,2,3,3,4,2,4,2,4,3,2,1,1,"Business, Finance and Law (BFL)",Vrouw,24,Den Haag,4,0,Havo,Alleen
23,4,4,3,2,2,2,1,8,6,8,5,2,2,2,1,1,1,3,1,1,5,8.0,8.0,1,2,1,3,1,3,1,1,7.6,0,0,1,1,1,2,1,1,2,1,1,1,4,3,1,5,5,5,5,4,5,3,3,5,4,4,5,4,4,3,1,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,"Agri, Food and Life Sciences (AFL)",Man,28,Delft,4,0,Mbo,Bij mijn ouder(s)/verzorger(s)
24,3,4,3,2,2,3,2,6,3,6,1,2,1,1,1,1,1,1,1,1,5,9.0,9.0,1,1,1,4,1,4,1,1,6.5,0,0,1,1,1,2,2,2,2,2,2,2,4,3,1,4,4,4,3,4,4,4,3,5,4,4,3,1,1,1,1,4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,"Agri, Food and Life Sciences (AFL)",Man,23,Delft,4,0,Mbo,Bij mijn ouder(s)/verzorger(s)
25,3,4,3,3,3,3,3,8,6,7,5,5,5,5,,5,5,5,5,5,4,7.0,8.0,2,2,3,3,2,3,3,3,6.3,5,0,3,1,1,2,2,3,2,3,2,2,5,5,2,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,1,3,23.0,,,,,,,,,,,,,,,,,,,,,,,,,"Agri, Food and Life Sciences (AFL)",Man,21,Delft,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
26,3,3,3,3,1,2,3,8,4,6,1,2,1,3,3,3,2,2,3,1,3,8.0,7.0,1,2,1,3,1,3,1,1,7.0,0,0,2,1,1,2,2,2,2,1,1,1,3,4,3,4,5,5,4,4,4,4,3,4,3,4,3,1,1,2,1,5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,"Agri, Food and Life Sciences (AFL)",Man,21,Delft,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
27,2,3,3,4,3,3,2,3,7,6,3,4,2,4,4,4,3,3,5,1,4,8.0,10.0,1,3,2,4,1,4,1,3,6.6,4,0,1,1,1,2,3,3,2,2,2,2,4,4,3,4,3,3,2,2,4,4,1,5,2,1,5,2,4,4,1,1,14.0,1,2,5,1,4,2,4,2,2,3,3,2,4,3,3,1,2,3,1,1,1,1,1,1,"Techniek, Ontwerpen en Informatica (TOI)",Man,22,Haarlem,5 of hoger,0,Mbo,Bij mijn ouder(s)/verzorger(s)
28,3,2,2,3,2,2,2,3,7,5,2,5,2,5,5,5,3,3,5,2,4,7.0,10.0,1,1,2,3,2,3,1,2,6.6,3,0,3,1,3,2,3,3,2,2,2,2,4,5,2,4,3,3,4,1,4,3,1,3,3,1,5,1,4,4,1,2,16.0,2,2,4,2,2,3,4,2,2,4,2,2,2,3,2,3,3,3,1,1,3,1,1,1,"Techniek, Ontwerpen en Informatica (TOI)",Man,22,Haarlem,5 of hoger,0,Mbo,Bij mijn ouder(s)/verzorger(s)
29,2,2,1,4,5,4,4,7,9,3,,4,,5,4,3,,3,5,2,4,6.0,8.0,3,3,4,2,3,2,3,1,6.3,0,1,3,1,3,3,3,2,1,1,1,1,4,5,3,5,2,2,3,1,5,4,2,5,3,3,3,5,3,1,1,1,24.0,4,2,5,3,4,2,4,2,4,3,4,4,4,2,3,3,3,4,3,3,3,4,2,2,"Gezondheid, Sport en Welzijn (GSW)",Man,21,Amsterdam,4,0,Havo,Bij mijn ouder(s)/verzorger(s)
