StudentID;Jaar;Bevl_1;Bevl_2;Bevl_3;Burn1_1;Burn1_2;Burn1_3;Burn1_4;Mot_Stress_1;Mot_Stress_2;Mot_Stress_4;Onnodige_stress_1;Onnodige_stress_2;Onnodige_stress_3;Onnodige_stress_4;Onnodige_stress_5;Onnodige_stress_6;Onnodige_stress_7;Onnodige_stress_8;Onnodige_stress_9;Onnodige_stress_10;Leefst;Cantrill_1;Q297_1;Depr_1;Depr_2;Depr_3;Depr_4;Depr_5;Depr_6;Depr_7;Depr_8;Studiejaar;StPunt_beh;Cijfer_huidig_1;Vertr;StopInt;Hulp_1;Hulp_2;Hulp_3;Bekendgebruik_1;Bekendgebruik_2;Bekendgebruik_3;Bekendgebruik_4;Bekendgebruik_5;Bekendgebruik_6;Bekendgebruik_7;Cogn_Eng1_1;Cogn_Eng1_2;Cogn_Eng1_3;Cogn_Eng1_4;Cogn_Eng1_5;Cogn_Eng1_6;Cogn_Eng2_1;Cogn_Eng2_2;Cogn_Eng2_3;Cogn_Eng2_4;Cogn_Eng2_5;Cogn_Eng2_6;Cogn_Eng2_7;Cogn_Eng2_8;Partici1_1;Partici1_2;Partici1_3;Partici1_4;Geslacht;Leeftijd;Vooropleid;Locatie;Domein;Opleidingsvorm;Stopint2;Betrok_Ouders;Werk_1;Uitwissel
1;2025;3;4;4;4;2;1;3;4.2;4.2;4.2;2;3;2;2;3;4;5;4;4;2;4;3.8;2.6;2.33;2.33;1;3.67;1;3.67;2.33;2.33;1;2.67;3.96;1;1;1;1;5;1;1;3;1;1;1;1;4;4;2;4;4;3;3;2;4;3;3;4;4;3;2;2;4;4;Vrouw;21;Havo;Amsterdam;Verloskunde Academie;Voltijd;5;5;1.64;0
2;2025;3;4;3;2;1;3;2;3.4;2.2;3.8;1;2;2;5;5;5;3;3;3;3;3;4.2;2.2;1;1;2.33;3.67;1;3.67;1;2.33;1;2.53;3.6;1;0;1;1;1;1;1;3;1;1;1;1;2;5;4;4;4;3;2;2;2;1;1;4;2;4;3;1;5;1;Vrouw;18;Mbo;Amsterdam;Verloskunde Academie;Voltijd;5;5;1;0
3;2025;4;4;4;2;2;2;3;3.8;3.4;4.2;4;3;1;3;4;3;2;3;4;3;4;3.8;3.8;2.33;3.67;1;3.67;1;3.67;2.33;2.33;1;2.67;3.84;1;0;1;1;1;1;1;3;1;1;1;1;4;4;3;4;4;4;4;5;5;3;2;4;2;3;1;3;2;1;Vrouw;20;Vwo;Amsterdam;Verloskunde Academie;Voltijd;5;5;1.56;0
4;2025;3;4;2;2;3;2;4;3.4;3.8;3.8;3;2;1;1;3;3;2;5;5;2;4;4.2;2.6;1;2.33;2.33;3.67;2.33;5;1;3.67;1;2.67;3.68;1;1;1;1;1;1;1;3;1;1;1;1;3;2;4;4;3;3;4;4;4;4;2;2;1;3;3;4;3;1;Vrouw;22;Mbo;Amsterdam;Verloskunde Academie;Voltijd;5;3;1;0
5;2025;2;4;3;4;3;4;3;3.8;4.2;3.8;2;1;1;3;5;3;5;4;2;2;4;1.8;3.4;3.67;3.67;3.67;2.33;2.33;2.33;3.67;3.67;1;2.8;4;1;0;1;5;5;1;1;5;1;1;1;1;3;4;4;5;4;2;4;3;3;2;3;4;3;4;1;1;1;2;Vrouw;24;Vwo;Amsterdam;Verloskunde Academie;Voltijd;5;5;1;0
6;2025;3;5;4;3;2;4;3;4.6;4.2;4.2;2;5;;4;;4;5;1;5;3;3;4.2;3.4;1;3.67;5;3.67;1;2.33;2.33;2.33;1;1.33;4.08;1.8;0;1;1;1;1;1;3;1;1;1;1;4;1;3;4;4;4;4;4;4;4;3;4;4;4;1;3;1;1;Vrouw;20;Havo;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Deeltijd;5;4;2.2;0
7;2025;2;4;4;3;1;1;1;3.8;3.4;3.8;;;1;3;3;3;2;1;1;2;4;3.8;4.6;1;2.33;2.33;5;1;5;1;1;1;3;3.84;1;0;1;1;1;1;1;1;1;1;1;1;4;4;3;4;3;3;3;3;1;1;2;4;4;4;4;1;1;1;Vrouw;30;Anders, namelijk (vul in):;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Duaal;5;1;3.88;0
8;2025;2;3;3;3;1;5;5;3;3.4;3.8;5;3;1;1;5;5;5;4;2;3;4;3.4;4.2;2.33;5;3.67;3.67;2.33;3.67;3.67;3.67;1;2;3.16;1.8;1;1;1;5;1;1;3;1;1;1;1;4;4;1;3;3;3;4;4;4;4;2;5;5;5;5;1;1;1;Vrouw;20;Mbo;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Deeltijd;5;4;3.16;0
9;2025;2;4;4;4;4;4;4;4.6;4.2;3.8;2;2;2;2;3;3;;3;3;3;3;3.4;4.2;2.33;3.67;3.67;2.33;2.33;2.33;2.33;2.33;1;2.33;3.6;1;1;3;1;3;1;1;1;1;1;1;1;5;5;2;5;4;4;4;4;4;4;4;4;4;4;4;1;3;1;Vrouw;30;Anders, namelijk (vul in):;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Duaal;5;4;3.56;0
10;2025;3;4;4;2;2;3;3;4.6;2.6;4.2;2;3;3;4;4;4;4;2;3;2;4;3.4;3.4;1;2.33;2.33;3.67;1;3.67;1;2.33;1;2.67;3.64;1;0;5;1;1;1;1;3;1;1;1;1;4;5;2;4;4;4;5;4;4;3;3;4;3;3;3;2;4;5;Vrouw;19;Havo;Amsterdam;Verloskunde Academie;Voltijd;5;4;1.32;0
11;2025;3;4;3;3;2;4;2;3.4;4.2;3.8;5;3;5;4;5;5;3;5;4;2;4;3;4.2;3.67;5;5;3.67;1;2.33;1;5;1;3.6;3.68;2.6;0;5;1;5;1;1;5;1;1;1;1;3;3;3;5;4;4;2;2;4;3;4;2;3;4;1;2;3;1;Man;21;Havo;Amsterdam;Agri, Food and Life Sciences (AFL);Voltijd;5;2;2.2;0
12;2025;2;4;4;1;1;4;3;4.2;1.4;3.4;4;4;3;4;5;5;2;4;5;3;5;4.2;5;2.33;1;1;5;3.67;3.67;2.33;2.33;1;3.67;3.96;1;1;1;1;1;1;1;5;1;1;1;1;2;4;2;4;3;2;2;2;1;3;3;3;3;3;1;1;1;1;Vrouw;18;Havo;Amsterdam;Creative Business (CB);Voltijd;5;3;1.4;0
13;2025;4;4;3;3;2;1;2;3.8;4.2;3.8;2;2;2;2;4;4;2;4;3;3;4;3.8;4.2;2.33;2.33;2.33;3.67;1;3.67;2.33;2.33;1;3;3.88;1;0;1;1;1;1;5;3;1;1;1;1;4;5;3;5;5;5;4;4;4;4;5;5;3;4;3;1;1;1;Vrouw;35;Anders, namelijk (vul in):;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Duaal;5;3;2.92;0
14;2025;3;4;3;2;2;3;2;4.2;3.4;3.8;;;;;3;;;;3;2;5;4.2;3.8;1;3.67;2.33;3.67;1;3.67;2.33;2.33;1;1.67;4.6;1;0;1;1;1;1;1;1;1;1;1;1;4;5;2;4;5;5;5;4;5;4;4;5;4;4;4;2;2;1;Vrouw;40;Anders, namelijk (vul in):;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Duaal;5;2;3.72;0
15;2025;2;3;2;4;4;4;3;2.6;3.8;3.4;2;2;1;3;4;5;;5;4;4;4;4.2;3.4;2.33;2.33;1;3.67;2.33;3.67;2.33;3.67;1;3;3.8;1;1;1;1;5;1;1;3;1;1;1;1;3;5;3;4;4;4;4;4;4;4;4;4;3;3;1;1;1;1;Vrouw;27;Anders, namelijk (vul in):;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Duaal;5;3;3.72;0
17;2025;4;4;4;2;2;2;2;5;2.6;5;3;3;3;3;3;2;2;2;2;3;4;3.4;5;2.33;2.33;2.33;2.33;3.67;2.33;2.33;2.33;1;3.8;4.32;1;0;3;3;3;1;1;3;3;1;1;1;5;5;2;5;5;5;1;1;1;1;2;5;1;1;1;1;1;1;Man;23;Mbo;Amsterdam;Techniek, Ontwerpen en Informatica (TOI);Voltijd;5;4;2.2;1
18;2025;3;4;3;3;2;1;3;4.2;3.4;3.8;2;2;2;2;3;2;3;2;2;2;5;4.6;4.2;1;2.33;2.33;5;1;5;1;2.33;1;1.47;3.88;1;0;1;1;1;1;1;1;1;1;1;1;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;Man;20;Mbo;Amsterdam;Techniek, Ontwerpen en Informatica (TOI);Voltijd;5;3;2.2;0
19;2025;3;3;4;3;2;2;3;3.8;3.4;4.2;2;1;2;5;5;;5;2;3;4;3;3.4;4.2;3.67;2.33;2.33;3.67;1;2.33;1;2.33;1;4.33;3;1;0;5;1;3;1;3;3;1;1;1;1;5;5;3;5;4;4;5;3;4;3;1;5;1;4;2;3;2;1;Vrouw;23;Mbo;Amsterdam;Creative Business (CB);Voltijd;5;4;2.6;0
20;2025;3;3;3;3;1;2;3;3.4;3.8;2.2;3;3;2;4;4;4;3;4;3;2;3;3.8;4.6;1;1;2.33;3.67;1;3.67;1;1;1;8.33;3.12;1.8;1;1;1;1;1;1;1;1;1;1;1;3;4;4;3;2;4;3;3;3;3;3;4;2;3;2;1;1;1;Man;19;Havo;Amsterdam;Creative Business (CB);Voltijd;1;2;2.2;0
21;2025;3;4;4;3;2;3;3;3.8;3.4;4.2;4;4;2;3;4;3;2;2;4;4;4;3.4;4.2;2.33;5;1;3.67;1;2.33;2.33;5;1;4;3.92;1;0;1;1;1;1;3;3;1;1;3;1;4;5;2;4;5;4;4;5;5;5;4;5;4;4;1;1;1;1;Vrouw;20;Mbo;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Voltijd;5;5;1.48;0
22;2025;2;4;4;3;1;3;2;4.2;3.8;3.4;3;1;3;5;5;3;;2;2;3;4;4.6;4.2;2.33;2.33;3.67;3.67;1;5;2.33;2.33;1;4;4.2;1;1;1;1;1;1;1;1;1;1;1;1;4;4;3;5;4;4;4;4;4;4;3;4;4;3;3;2;2;2;Vrouw;20;Mbo;Amsterdam;Gezondheid, Sport en Welzijn (GSW);Voltijd;3;5;3.4;0
23;2025;2;2;3;2;2;3;4;3.4;3.4;3.4;2;2;2;4;4;4;4;2;5;2;2;3;3;2.33;2.33;2.33;2.33;1;3.67;1;2.33;1;1.67;3.6;1.8;0;5;3;5;1;3;3;3;3;1;1;3;3;4;3;2;2;3;4;3;3;2;5;1;3;2;3;3;1;Man;18;Ik heb een buitenlandse vooropleiding afgerond (bv. A-levels);Amsterdam;Creative Business (CB);Voltijd;5;4;2.2;1
