,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,Participation,~,Interventions,0.2199894485458964,0.04601121300075066,4.7812138431891835,1.742398939352796e-06
1,Participation,~,Behavior,1.504462576240914,0.15183189492547788,9.908738720342162,0.0
2,Response_to_Stress,~,Stressors,0.422955250712087,0.03409781389207763,12.404175001903958,0.0
3,Response_to_Stress,~,Participation,-0.0881433767154854,0.025128978218215706,-3.5076387088466516,0.00045210259260830554
4,Wellbeing,~,Stressors,-0.2558355519946957,0.026850483105478124,-9.528154520727083,0.0
5,Wellbeing,~,Participation,0.29673515302811687,0.025735590470543926,11.530147456932049,0.0
6,Negative_Outcomes,~,Response_to_Stress,0.08205751677508114,0.018614598860257354,4.408234493082084,1.042166764553265e-05
7,Negative_Outcomes,~,Wellbeing,-0.28134386967116876,0.023046361402034147,-12.207734867601648,0.0
8,Positive_Outcomes,~,Wellbeing,0.18666860255674197,0.026266081607201862,7.106830982298202,1.1872725025341424e-12
9,Positive_Outcomes,~,Response_to_Stress,0.00118474009674633,0.01581923173947427,0.07489239150060083,0.9403003302601971
10,Bevl_1,~,Wellbeing,1.0,-,-,-
11,Bevl_2,~,Wellbeing,1.1572431607352651,0.043835992623762185,26.39938305130471,0.0
12,Bevl_3,~,Wellbeing,1.0850014204740461,0.04664415452430953,23.261251737027727,0.0
13,Cogn_Eng1_5,~,Wellbeing,1.2096899122206197,0.04985680222728823,24.263287217691918,0.0
14,Cogn_Eng1_6,~,Wellbeing,0.9645870537670196,0.04769780445381086,20.22288163558711,0.0
15,Cogn_Eng2_2,~,Wellbeing,0.7692112574229804,0.05169994917268899,14.87837550553039,0.0
16,Cogn_Eng2_3,~,Wellbeing,0.6452346983728653,0.04829107254064408,13.361366074784184,0.0
17,Cogn_Eng2_8,~,Wellbeing,0.7420169510649739,0.045984686029889636,16.136175216386892,0.0
18,Mot_Stress_1,~,Wellbeing,1.164868012140809,0.04589395415911714,25.381731285928403,0.0
19,Mot_Stress_4,~,Wellbeing,1.2311562579784137,0.04486270590109382,27.44275525121532,0.0
20,Bekendgebruik_4,~,Interventions,1.0,-,-,-
21,Bekendgebruik_5,~,Interventions,1.1239292649073933,0.08155595643476947,13.781081284879043,0.0
22,Bekendgebruik_6,~,Interventions,1.2563409359839863,0.10024786887684815,12.532345575493833,0.0
23,Bekendgebruik_7,~,Interventions,1.2201158573825521,0.08849917024694834,13.786749118258967,0.0
24,StopInt,~,Negative_Outcomes,1.0,-,-,-
25,Vertr,~,Negative_Outcomes,1.566850205092444,0.16218720074986295,9.660751266675446,0.0
26,Cijfer_huidig_1,~,Positive_Outcomes,1.0,-,-,-
27,Stopint2,~,Positive_Outcomes,2.0516172858208552,0.32727129964688473,6.268857941494461,3.637057321981274e-10
28,Onnodige_stress_1,~,Stressors,1.0,-,-,-
29,Onnodige_stress_2,~,Stressors,1.1568154385363152,0.06176292436457367,18.729933053188105,0.0
30,Onnodige_stress_3,~,Stressors,1.0877300294839367,0.060511911443200915,17.975469680658684,0.0
31,Onnodige_stress_4,~,Stressors,1.4017510593049674,0.06841967420792183,20.48754361245089,0.0
32,Onnodige_stress_5,~,Stressors,1.3730226058752888,0.06701477673473412,20.488356042573447,0.0
33,Onnodige_stress_6,~,Stressors,1.1656031037972863,0.06195118344846851,18.814864202683545,0.0
34,Onnodige_stress_7,~,Stressors,0.8961925352434679,0.06393768100769515,14.016656861883854,0.0
35,Burn1_1,~,Response_to_Stress,1.0,-,-,-
36,Burn1_2,~,Response_to_Stress,1.0685888742110117,0.05003625764087741,21.356290909267873,0.0
37,Burn1_3,~,Response_to_Stress,0.9182373164098351,0.04993507660670806,18.38862336436457,0.0
38,Burn1_4,~,Response_to_Stress,0.9610265923909733,0.04896883758339386,19.625268636093743,0.0
